id,title,author,created_at,closed_at,labels,time_to_solve
3011428763,include: drivers: clock_control: stm32: fix STM32_CLOCK_INFO_BY_NAME(),etienne-lms,2025-11-14 16:35:17+00:00,2025-11-15 10:44:24+00:00,"{'bug': 1, 'platform: STM32': 1, 'Regression': 1, 'area: Clock Control': 1, 'Hotfix': 1}",0 days 18:09:07
3009569835,tracing: rtio: fix building error in rtio header file,JiafeiPan,2025-11-14 07:04:15+00:00,2025-11-14 11:17:42+00:00,"{'bug': 1, 'Hotfix': 1, 'Trivial': 1, 'area: RTIO': 1, 'size: XS': 1}",0 days 04:13:27
3003546941,net: Last minute TCP fixes,rlubos,2025-11-12 16:49:43+00:00,2025-11-13 00:00:21+00:00,"{'bug': 1, 'area: Networking': 1, 'area: Sockets': 1}",0 days 07:10:38
3003353053,doc: kernel: timeutil: remove note about 64-bitness,cfriedt,2025-11-12 15:53:01+00:00,2025-11-12 23:59:33+00:00,"{'bug': 1, 'area: Kernel': 1, 'area: Documentation': 1}",0 days 08:06:32
2994540866,dts: arm: st: n6: fixup adc2 missing properties,Emil-Juhl,2025-11-10 10:03:40+00:00,2025-11-12 14:01:54+00:00,"{'bug': 1, 'platform: STM32': 1, 'Release Blocker': 1, 'area: Boards/SoCs': 1}",2 days 03:58:14
2991956384,drivers: smbus: fix multiple errors,cfriedt,2025-11-08 23:14:27+00:00,2025-11-11 17:48:27+00:00,"{'bug': 1, 'platform: STM32': 1, 'area: Tests': 1, 'Regression': 1, 'area: SMBus': 1}",2 days 18:34:00
2991333759,net: lwm2m: Fix SenML CBOR resource instance encoding,rlubos,2025-11-08 11:12:44+00:00,2025-11-12 10:57:30+00:00,"{'bug': 1, 'area: LWM2M': 1}",3 days 23:44:46
2988855516,doc: extensions: domain: fix inventory on incremental builds,gmarull,2025-11-07 14:25:00+00:00,2025-11-13 13:34:11+00:00,"{'bug': 1, 'area: Documentation Infrastructure': 1}",5 days 23:09:11
2986386761,soc: nxp: rt118x: Move container header in tree,decsny,2025-11-06 21:41:48+00:00,2025-11-08 08:21:28+00:00,"{'bug': 1, 'platform: NXP': 1, 'platform: NXP MCU': 1, 'area: Boards/SoCs': 1}",1 days 10:39:40
2986130353,shields: nxp: lcd_par_s035: fix gt911 touch initialization,DerekSnell,2025-11-06 20:23:51+00:00,2025-11-08 13:01:04+00:00,"{'bug': 1, 'area: Display': 1, 'area: Shields': 1, 'area: Input': 1, 'platform: NXP MCU': 1, 'area: Boards/SoCs': 1}",1 days 16:37:13
2983031402,west: update hal_nxp to fix I2S run issue on MCXN947,ZhaoxiangJin,2025-11-06 04:27:30+00:00,2025-11-08 08:21:48+00:00,"{'bug': 1, 'platform: NXP': 1, 'manifest': 1, 'manifest-hal_nxp': 1, 'size: XS': 1}",2 days 03:54:18
2982173086,tests: spi_loopback: Skip tests properly,decsny,2025-11-05 21:51:39+00:00,2025-11-13 21:19:54+00:00,"{'bug': 1, 'area: SPI': 1, 'area: Tests': 1, 'backport v4.3-branch': 1}",7 days 23:28:15
2981071724,boards: stm32n6570_dk: Remove invert-y property from LVGL pointer input,kartben,2025-11-05 15:44:40+00:00,2025-11-07 17:22:49+00:00,"{'bug': 1, 'area: Boards': 1, 'platform: STM32': 1, 'size: XS': 1, 'area: Boards/SoCs': 1}",2 days 01:38:09
2980978975,Bluetooth: Controller: Various fixes for CIS termination handling,Tronil,2025-11-05 15:20:03+00:00,2025-11-08 08:22:00+00:00,"{'bug': 1, 'priority: low': 1, 'area: Bluetooth': 1, 'area: Tests': 1, 'area: Bluetooth Controller': 1}",2 days 17:01:57
2980956431,soc: nordic: vpr: align ESF_SW_IRQ_SIZEOF with new exception debug,lstnl,2025-11-05 15:14:02+00:00,2025-11-07 17:22:59+00:00,"{'bug': 1, 'area: RISCV': 1, 'platform: nRF': 1, 'area: Boards/SoCs': 1}",2 days 02:08:57
2979579578,"boards: nxp: frdm_mcxe31b: add zephyr,shell-uart node",lucien-nxp,2025-11-05 09:08:01+00:00,2025-11-07 17:25:29+00:00,"{'bug': 1, 'platform: NXP': 1, 'size: XS': 1, 'platform: NXP MCU': 1, 'area: Boards/SoCs': 1}",2 days 08:17:28
